Geneid,RPKM,TPM
ENSG00000160072,1.1655155733670333,2.9251631008975227
ENSG00000279928,0.0,0.0
ENSG00000228037,0.0,0.0
ENSG00000142611,0.0,0.0
ENSG00000284616,0.0,0.0
ENSG00000157911,0.0,0.0
ENSG00000269896,0.0,0.0
ENSG00000228463,0.0,0.0
ENSG00000260972,0.0,0.0
ENSG00000224340,0.0,0.0
ENSG00000226374,0.0,0.0
ENSG00000229280,0.0,0.0
ENSG00000142655,0.0,0.0
ENSG00000232596,0.0,0.0
ENSG00000235054,0.0,0.0
ENSG00000231510,0.0,0.0
ENSG00000149527,0.04361936542598038,0.10947409124705221
ENSG00000284739,0.0,0.0
ENSG00000171621,0.0,0.0
ENSG00000272235,0.0,0.0
ENSG00000284694,0.0,0.0
ENSG00000224387,0.0,0.0
ENSG00000142583,0.1421838724033239,0.3568472413417936
ENSG00000284674,0.0,0.0
ENSG00000224338,0.0,0.0
ENSG00000116786,0.0,0.0
ENSG00000287727,0.0,0.0
ENSG00000286448,0.0,0.0
ENSG00000284703,0.0,0.0
ENSG00000226457,0.0,0.0
ENSG00000173614,0.0,0.0
ENSG00000215720,0.0,0.0
ENSG00000241326,0.0,0.0
ENSG00000233623,0.0,0.0
ENSG00000162592,0.0,0.0
ENSG00000204624,0.0,0.0
ENSG00000142606,0.0,0.0
ENSG00000225931,0.0,0.0
ENSG00000171729,0.0,0.0
ENSG00000279457,0.0,0.0
ENSG00000229393,0.0,0.0
ENSG00000037637,0.026167261676624597,0.06567351827557928
ENSG00000287586,0.0,0.0
ENSG00000159423,97.48975010681605,244.67576945741465
ENSG00000227169,0.0,0.0
ENSG00000283356,0.0,0.0
ENSG00000011021,0.0,0.0
ENSG00000142615,0.0,0.0
ENSG00000215704,0.0,0.0
ENSG00000157916,16.699519556902537,41.91176808513123
ENSG00000157881,3.114084710133209,7.815601863504432
ENSG00000238290,0.0,0.0
ENSG00000225387,0.0,0.0
ENSG00000048707,6.322595303722266,15.86818992982446
ENSG00000225196,0.0,0.0
ENSG00000162444,0.0,0.0
ENSG00000279625,0.0,0.0
ENSG00000180758,0.0,0.0
ENSG00000184677,0.0,0.0
ENSG00000288398,0.0,0.0
ENSG00000224621,0.0,0.0
ENSG00000285833,0.0,0.0
ENSG00000131697,0.0,0.0
ENSG00000284692,0.0,0.0
ENSG00000284745,0.0,0.0
ENSG00000280222,0.0,0.0
ENSG00000285945,0.0,0.0
ENSG00000197921,0.0,0.0
ENSG00000233755,0.0,0.0
ENSG00000233929,0.0,0.0
ENSG00000271742,0.0,0.0
ENSG00000234166,0.0,0.0
ENSG00000235282,0.0,0.0
ENSG00000055070,5.219905176443411,13.100703552339274
ENSG00000175087,0.0,0.0
ENSG00000157191,0.0,0.0
ENSG00000230035,0.0,0.0
ENSG00000225643,0.0,0.0
ENSG00000284666,0.0,0.0
ENSG00000228943,0.0,0.0
ENSG00000234397,0.0,0.0
ENSG00000284309,0.0,0.0
ENSG00000162511,0.1460600126671072,0.36657541892484125
ENSG00000158014,0.0,0.0
ENSG00000204138,0.0,0.0
ENSG00000233419,0.0,0.0
ENSG00000235263,0.0,0.0
ENSG00000228176,0.0,0.0
ENSG00000231251,0.0,0.0
ENSG00000142675,0.0,0.0
ENSG00000197245,0.0,0.0
ENSG00000130772,0.0,0.0
ENSG00000215899,0.0,0.0
ENSG00000271398,0.0,0.0
ENSG00000225011,0.0,0.0
ENSG00000235069,0.0,0.0
ENSG00000284676,0.0,0.0
ENSG00000237058,0.0,0.0
ENSG00000233399,0.0,0.0
ENSG00000090020,0.0,0.0
ENSG00000157978,0.0,0.0
ENSG00000130770,35.06976395829184,88.01665274332298
ENSG00000229044,0.0,0.0
ENSG00000162512,8.208386648181019,20.60107156852012
ENSG00000158006,0.0,0.0
ENSG00000214812,0.0,0.0
ENSG00000126698,0.16302964069482087,0.4091650941526236
ENSG00000229447,0.0,0.0
ENSG00000229607,0.0,0.0
ENSG00000130766,0.06809383606144165,0.17089911211574052
ENSG00000168528,4.848667755380788,12.168987125224001
ENSG00000196581,0.0,0.0
ENSG00000169403,0.22408827038470627,0.5624075343580739
ENSG00000084628,0.0,0.0
ENSG00000060688,0.0,0.0
ENSG00000171612,0.0,0.0
ENSG00000270927,0.0,0.0
ENSG00000188910,0.0,0.0
ENSG00000230523,0.0,0.0
ENSG00000116138,0.0,0.0
ENSG00000158161,0.0,0.0
ENSG00000142684,0.0,0.0
ENSG00000121769,0.0,0.0
ENSG00000142627,0.0,0.0
ENSG00000284668,0.0,0.0
ENSG00000233234,0.0,0.0
ENSG00000142632,0.0,0.0
ENSG00000234593,0.08248455578891217,0.20701634924586904
ENSG00000270605,0.0,0.0
ENSG00000189337,0.0,0.0
ENSG00000235084,0.5273844752678098,1.3236078884668765
ENSG00000235143,0.0,0.0
ENSG00000225478,0.0,0.0
ENSG00000028137,0.0,0.0
ENSG00000204464,0.0,0.0
ENSG00000233372,0.0,0.0
ENSG00000283259,0.0,0.0
ENSG00000284543,0.0,0.0
ENSG00000130939,0.051042732585192374,0.1281049531546376
ENSG00000175147,0.0,0.0
ENSG00000127472,0.0,0.0
ENSG00000060656,0.0,0.0
ENSG00000163867,0.0,0.0
ENSG00000232768,0.0,0.0
ENSG00000230214,0.0,0.0
ENSG00000189280,0.0,0.0
ENSG00000134698,4.573175792003015,11.477568714109644
ENSG00000134690,0.0,0.0
ENSG00000272420,0.0,0.0
ENSG00000132881,0.0,0.0
ENSG00000273274,0.0,0.0
ENSG00000272510,0.0,0.0
ENSG00000236648,0.0,0.0
ENSG00000232273,0.0,0.0
ENSG00000009709,0.14567641615616314,0.36561268416171405
ENSG00000287396,0.0,0.0
ENSG00000223589,0.0,0.0
ENSG00000158008,0.10380487029709863,0.26052519865464274
ENSG00000130940,0.0,0.0
ENSG00000116771,1.142524364029294,2.8674607082941534
ENSG00000237301,0.0,0.0
ENSG00000163879,0.0,0.0
ENSG00000227527,0.0,0.0
ENSG00000116954,0.0,0.0
ENSG00000228589,0.3461686643828355,0.8687998915487425
ENSG00000163873,0.0,0.0
ENSG00000117215,0.0,0.0
ENSG00000196449,54.85312228962431,137.66811268518308
ENSG00000230163,0.0,0.0
ENSG00000227538,0.0,0.0
ENSG00000236500,0.0,0.0
ENSG00000044012,0.0,0.0
ENSG00000179051,0.0,0.0
ENSG00000215895,0.1202759492064852,0.30186363578810904
ENSG00000284650,0.0,0.0
ENSG00000237329,0.0,0.0
ENSG00000236948,0.0,0.0
ENSG00000126067,14.109048847287252,35.41031112747615
ENSG00000274944,0.0,0.0
ENSG00000132906,0.0,0.0
ENSG00000197312,0.7162433762895637,1.797598198994389
ENSG00000284748,0.0,0.0
ENSG00000272078,0.0,0.0
ENSG00000173660,71.54849381133286,179.56947020200622
ENSG00000224592,0.0,0.0
ENSG00000233728,0.0,0.0
ENSG00000230451,0.0,0.0
ENSG00000231606,0.15218906419929695,0.3819578606486079
ENSG00000215900,0.0,0.0
ENSG00000284632,0.0,0.0
ENSG00000241014,0.0,0.0
ENSG00000054118,0.04994509755184555,0.12535015384421477
ENSG00000254553,0.0,0.0
ENSG00000284653,0.0,0.0
ENSG00000237749,0.0,0.0
ENSG00000276747,0.0,0.0
ENSG00000284705,0.0,0.0
ENSG00000228776,0.0,0.0
ENSG00000159339,0.0,0.0
ENSG00000197982,11.306262692776368,28.375993589189704
ENSG00000261781,0.0,0.0
ENSG00000183317,0.0,0.0
ENSG00000183386,0.0,0.0
ENSG00000284743,0.0,0.0
ENSG00000158315,0.0,0.0
ENSG00000204084,0.0,0.0
ENSG00000186973,0.0,0.0
ENSG00000146463,11.719944105600433,29.414234203018932
ENSG00000183520,2.440381578102598,6.12476942178772
ENSG00000271741,0.0,0.0
ENSG00000214141,0.0,0.0
ENSG00000142686,0.0,0.0
ENSG00000224751,0.0,0.0
ENSG00000117148,0.0,0.0
ENSG00000230585,0.0,0.0
ENSG00000117000,0.15130992326361425,0.37975142884768537
ENSG00000284989,0.0,0.0
ENSG00000231630,0.0,0.0
ENSG00000092853,0.0,0.0
ENSG00000255811,0.0,0.0
ENSG00000134697,0.5332575579922121,1.3383479101933213
ENSG00000187513,0.0,0.0
ENSG00000238145,0.0,0.0
ENSG00000225142,0.0,0.0
ENSG00000230138,0.0,0.0
ENSG00000223390,0.0,0.0
ENSG00000284720,0.0,0.0
ENSG00000225671,0.0,0.0
ENSG00000116151,0.0,0.0
ENSG00000226147,0.0,0.0
ENSG00000006555,14.196144107945287,35.628899234372
ENSG00000236111,0.0,0.0
ENSG00000066056,0.0,0.0
ENSG00000214114,0.0,0.0
ENSG00000116544,0.0,0.0
ENSG00000231900,0.0,0.0
ENSG00000236723,0.0,0.0
ENSG00000232467,0.0,0.0
ENSG00000117016,0.0,0.0
ENSG00000121310,4.929941948463537,12.372965755877624
ENSG00000169213,0.05533823015134061,0.13888561646589054
ENSG00000163866,15.256905837042822,38.29115544072749
ENSG00000225779,0.0,0.0
ENSG00000284601,0.0,0.0
ENSG00000237130,0.0,0.0
ENSG00000143001,0.0,0.0
ENSG00000227416,0.0,0.0
ENSG00000232335,0.0,0.0
ENSG00000260971,0.0,0.0
ENSG00000259832,0.0,0.0
ENSG00000284696,0.0,0.0
ENSG00000238242,0.0,0.0
ENSG00000285839,0.0,0.0
ENSG00000237290,0.0,0.0
ENSG00000232762,0.0,0.0
ENSG00000117419,17.945085247496852,45.03783768139141
ENSG00000162384,0.0,0.0
ENSG00000162391,0.0,0.0
ENSG00000174348,0.0,0.0
ENSG00000117859,0.8490617965982972,2.13094041344823
ENSG00000228121,0.0,0.0
ENSG00000253313,0.0,0.0
ENSG00000162396,0.0,0.0
ENSG00000203995,0.0,0.0
ENSG00000284686,0.0,0.0
ENSG00000162378,0.37346224540351486,0.9373001998392662
ENSG00000233079,0.0,0.0
ENSG00000259818,0.0,0.0
ENSG00000229444,0.0,0.0
ENSG00000240563,0.0,0.0
ENSG00000234318,0.0,0.0
ENSG00000284773,0.0,0.0
ENSG00000234481,0.0,0.0
ENSG00000117862,3.539405376788608,8.883054198401476
ENSG00000235612,0.0,0.0
ENSG00000228369,0.0,0.0
ENSG00000183431,1.150250731497049,2.8868520279273704
ENSG00000227485,0.0,0.0
ENSG00000224609,0.062192549912864,0.15608830659403608
ENSG00000235545,0.0,0.0
ENSG00000236646,0.0,0.0
ENSG00000232198,0.0,0.0
ENSG00000238063,0.0,0.0
ENSG00000227104,0.0,0.0
ENSG00000243725,0.0,0.0
ENSG00000171872,0.0,0.0
ENSG00000162407,0.0,0.0
ENSG00000285079,0.0,0.0
ENSG00000169218,0.0,0.0
ENSG00000163877,0.0,0.0
ENSG00000228929,48.18439565133653,120.93121655265168
ENSG00000224570,0.0,0.0
ENSG00000224980,0.0,0.0
ENSG00000278967,0.647995768127298,1.6263131559777178
ENSG00000157184,3.785312656560926,9.500222186087855
ENSG00000198815,0.0,0.0
ENSG00000134744,4.1912073466310735,10.518920003066349
